ROW_ID;SOURCE_ID;SOURCE_LABEL;SOURCE_DB;SOURCE_SCHEMA;SOURCE_TABLE;SOURCE_FIELD;TARGET_ID;TARGET_LABEL;TARGET_DB;TARGET_SCHEMA;TARGET_TABLE;TARGET_FIELD;TRANSFORMATION;LINK_VALUE;RAT_SCORE;COLOR
18;5;Employees@LastName;MA_NorthWindDB;dbo;Employees;LastName;6;Employees_Extract@LastName;MA_NorthWindDB;dbo;Employees_Extract;LastName;;1;0;aliceblue
19;5;Employees@FirstName;MA_NorthWindDB;dbo;Employees;FirstName;6;Employees_Extract@FirstName;MA_NorthWindDB;dbo;Employees_Extract;FirstName;;1;0;aliceblue
20;5;Employees@Title;MA_NorthWindDB;dbo;Employees;Title;6;Employees_Extract@Title;MA_NorthWindDB;dbo;Employees_Extract;Title;;1;0;aliceblue
21;5;Employees@TitleOfCourtesy;MA_NorthWindDB;dbo;Employees;TitleOfCourtesy;6;Employees_Extract@TitleOfCourtesy;MA_NorthWindDB;dbo;Employees_Extract;TitleOfCourtesy;;1;0;aliceblue
22;5;Employees@BirthDate;MA_NorthWindDB;dbo;Employees;BirthDate;6;Employees_Extract@BirthDate;MA_NorthWindDB;dbo;Employees_Extract;BirthDate;;1;0;aliceblue
23;5;Employees@HireDate;MA_NorthWindDB;dbo;Employees;HireDate;6;Employees_Extract@HireDate;MA_NorthWindDB;dbo;Employees_Extract;HireDate;;1;0;aliceblue
24;5;Employees@Address;MA_NorthWindDB;dbo;Employees;Address;6;Employees_Extract@Address;MA_NorthWindDB;dbo;Employees_Extract;Address;;1;0;aliceblue
25;5;Employees@City;MA_NorthWindDB;dbo;Employees;City;6;Employees_Extract@City;MA_NorthWindDB;dbo;Employees_Extract;City;;1;0;aliceblue
26;5;Employees@Region;MA_NorthWindDB;dbo;Employees;Region;6;Employees_Extract@Region;MA_NorthWindDB;dbo;Employees_Extract;Region;;1;0;aliceblue
27;5;Employees@PostalCode;MA_NorthWindDB;dbo;Employees;PostalCode;6;Employees_Extract@PostalCode;MA_NorthWindDB;dbo;Employees_Extract;PostalCode;;1;0;aliceblue
28;5;Employees@Country;MA_NorthWindDB;dbo;Employees;Country;6;Employees_Extract@Country;MA_NorthWindDB;dbo;Employees_Extract;Country;;1;0;aliceblue
29;5;Employees@HomePhone;MA_NorthWindDB;dbo;Employees;HomePhone;6;Employees_Extract@HomePhone;MA_NorthWindDB;dbo;Employees_Extract;HomePhone;;1;0;aliceblue
30;5;Employees@Extension;MA_NorthWindDB;dbo;Employees;Extension;6;Employees_Extract@Extension;MA_NorthWindDB;dbo;Employees_Extract;Extension;;1;0;aliceblue
31;5;Employees@ReportsTo;MA_NorthWindDB;dbo;Employees;ReportsTo;6;Employees_Extract@ReportsTo;MA_NorthWindDB;dbo;Employees_Extract;ReportsTo;;1;0;aliceblue
32;0;[Order Details]@orderid;MA_NorthWindDB;dbo;[Order Details];orderid;9;Order_Details_Order_AGGR@orderid;MA_NorthWindDB;dbo;Order_Details_Order_AGGR;orderid;;1;0;aliceblue
33;0;[Order Details]@*;MA_NorthWindDB;dbo;[Order Details];*;9;Order_Details_Order_AGGR@NrOfProducts;MA_NorthWindDB;dbo;Order_Details_Order_AGGR;NrOfProducts;count(*);1;0;orangered
34;0;[Order Details]@unitprice;MA_NorthWindDB;dbo;[Order Details];unitprice;9;Order_Details_Order_AGGR@avg_order_unitprice;MA_NorthWindDB;dbo;Order_Details_Order_AGGR;avg_order_unitprice;avg(unitprice);1;0;orangered
35;0;[Order Details]@max_order_discount;MA_NorthWindDB;dbo;[Order Details];max_order_discount;9;Order_Details_Order_AGGR@max_order_discount;MA_NorthWindDB;dbo;Order_Details_Order_AGGR;max_order_discount;max(Discount);1;0;orangered
36;0;[Order Details]@min_order_discount;MA_NorthWindDB;dbo;[Order Details];min_order_discount;9;Order_Details_Order_AGGR@min_order_discount;MA_NorthWindDB;dbo;Order_Details_Order_AGGR;min_order_discount;min(Discount);1;0;orangered
37;0;[Order Details]@total_quantity;MA_NorthWindDB;dbo;[Order Details];total_quantity;9;Order_Details_Order_AGGR@total_quantity;MA_NorthWindDB;dbo;Order_Details_Order_AGGR;total_quantity;sum(quantity);1;0;orangered
38;0;[Order Details]@productid;MA_NorthWindDB;dbo;[Order Details];productid;10;Order_Details_Product_AGGR@productid;MA_NorthWindDB;dbo;Order_Details_Product_AGGR;productid;;1;0;aliceblue
39;0;[Order Details]@quantity;MA_NorthWindDB;dbo;[Order Details];quantity;10;Order_Details_Product_AGGR@product_quantity_year;MA_NorthWindDB;dbo;Order_Details_Product_AGGR;product_quantity_year;sum(quantity);1;0;orangered
40;15;Orders@OrderID;MA_NorthWindDB;dbo;Orders;OrderID;19;Orders_Extract@OrderID;MA_NorthWindDB;dbo;Orders_Extract;OrderID;;1;0;aliceblue
41;15;Orders@CustomerID;MA_NorthWindDB;dbo;Orders;CustomerID;19;Orders_Extract@CustomerID;MA_NorthWindDB;dbo;Orders_Extract;CustomerID;;1;0;aliceblue
42;15;Orders@EmployeeID;MA_NorthWindDB;dbo;Orders;EmployeeID;19;Orders_Extract@EmployeeID;MA_NorthWindDB;dbo;Orders_Extract;EmployeeID;;1;0;aliceblue
43;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;19;Orders_Extract@OrderDate;MA_NorthWindDB;dbo;Orders_Extract;OrderDate;;1;0;aliceblue
44;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;19;Orders_Extract@OrderDate_Month;MA_NorthWindDB;dbo;Orders_Extract;OrderDate_Month;CAST(DATEFROMPARTS(DATEPART(year, OrderDate), DATEPART(month, OrderDate),1) as DATETIME);1;0;orangered
45;15;Orders@RequiredDate;MA_NorthWindDB;dbo;Orders;RequiredDate;19;Orders_Extract@RequiredDate;MA_NorthWindDB;dbo;Orders_Extract;RequiredDate;;1;0;aliceblue
46;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;19;Orders_Extract@Days_order_shipment;MA_NorthWindDB;dbo;Orders_Extract;Days_order_shipment;DATEDIFF(day, OrderDate, ShippedDate);1;0;orangered
47;15;Orders@ShippedDate;MA_NorthWindDB;dbo;Orders;ShippedDate;19;Orders_Extract@Days_order_shipment;MA_NorthWindDB;dbo;Orders_Extract;Days_order_shipment;DATEDIFF(day, OrderDate, ShippedDate);1;0;orangered
48;15;Orders@ShippedDate;MA_NorthWindDB;dbo;Orders;ShippedDate;19;Orders_Extract@ShippedDate;MA_NorthWindDB;dbo;Orders_Extract;ShippedDate;;1;0;aliceblue
49;15;Orders@ShipVia;MA_NorthWindDB;dbo;Orders;ShipVia;19;Orders_Extract@ShipVia;MA_NorthWindDB;dbo;Orders_Extract;ShipVia;;1;0;aliceblue
50;15;Orders@Freight;MA_NorthWindDB;dbo;Orders;Freight;19;Orders_Extract@Freight;MA_NorthWindDB;dbo;Orders_Extract;Freight;;1;0;aliceblue
51;15;Orders@ShipName;MA_NorthWindDB;dbo;Orders;ShipName;19;Orders_Extract@ShipName;MA_NorthWindDB;dbo;Orders_Extract;ShipName;;1;0;aliceblue
52;15;Orders@ShipAddress;MA_NorthWindDB;dbo;Orders;ShipAddress;19;Orders_Extract@ShipAddress;MA_NorthWindDB;dbo;Orders_Extract;ShipAddress;;1;0;aliceblue
53;15;Orders@ShipCity;MA_NorthWindDB;dbo;Orders;ShipCity;19;Orders_Extract@ShipCity;MA_NorthWindDB;dbo;Orders_Extract;ShipCity;;1;0;aliceblue
54;15;Orders@ShipRegion;MA_NorthWindDB;dbo;Orders;ShipRegion;19;Orders_Extract@ShipRegion;MA_NorthWindDB;dbo;Orders_Extract;ShipRegion;;1;0;aliceblue
55;15;Orders@ShipPostalCode;MA_NorthWindDB;dbo;Orders;ShipPostalCode;19;Orders_Extract@ShipPostalCode;MA_NorthWindDB;dbo;Orders_Extract;ShipPostalCode;;1;0;aliceblue
56;15;Orders@ShipCountry;MA_NorthWindDB;dbo;Orders;ShipCountry;19;Orders_Extract@ShipCountry;MA_NorthWindDB;dbo;Orders_Extract;ShipCountry;;1;0;aliceblue
57;15;Orders@ShipAddress;MA_NorthWindDB;dbo;Orders;ShipAddress;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
58;15;Orders@ShipCity;MA_NorthWindDB;dbo;Orders;ShipCity;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
59;15;Orders@ShipRegion;MA_NorthWindDB;dbo;Orders;ShipRegion;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
60;15;Orders@ShipPostalCode;MA_NorthWindDB;dbo;Orders;ShipPostalCode;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
61;15;Orders@ShipCountry;MA_NorthWindDB;dbo;Orders;ShipCountry;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
62;15;Orders@OrderID;MA_NorthWindDB;dbo;Orders;OrderID;16;Orders_1996_Extract@OrderID;MA_NorthWindDB;dbo;Orders_1996_Extract;OrderID;;1;0;aliceblue
63;15;Orders@CustomerID;MA_NorthWindDB;dbo;Orders;CustomerID;16;Orders_1996_Extract@CustomerID;MA_NorthWindDB;dbo;Orders_1996_Extract;CustomerID;;1;0;aliceblue
64;15;Orders@EmployeeID;MA_NorthWindDB;dbo;Orders;EmployeeID;16;Orders_1996_Extract@EmployeeID;MA_NorthWindDB;dbo;Orders_1996_Extract;EmployeeID;;1;0;aliceblue
65;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;16;Orders_1996_Extract@OrderDate;MA_NorthWindDB;dbo;Orders_1996_Extract;OrderDate;;1;0;aliceblue
66;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;16;Orders_1996_Extract@OrderDate_Month;MA_NorthWindDB;dbo;Orders_1996_Extract;OrderDate_Month;CAST(DATEFROMPARTS(DATEPART(year, OrderDate), DATEPART(month, OrderDate),1) as DATETIME);1;0;orangered
67;15;Orders@RequiredDate;MA_NorthWindDB;dbo;Orders;RequiredDate;16;Orders_1996_Extract@RequiredDate;MA_NorthWindDB;dbo;Orders_1996_Extract;RequiredDate;;1;0;aliceblue
68;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;16;Orders_1996_Extract@Days_order_shipment;MA_NorthWindDB;dbo;Orders_1996_Extract;Days_order_shipment;DATEDIFF(day, OrderDate, ShippedDate);1;0;orangered
69;15;Orders@ShippedDate;MA_NorthWindDB;dbo;Orders;ShippedDate;16;Orders_1996_Extract@Days_order_shipment;MA_NorthWindDB;dbo;Orders_1996_Extract;Days_order_shipment;DATEDIFF(day, OrderDate, ShippedDate);1;0;orangered
70;15;Orders@ShippedDate;MA_NorthWindDB;dbo;Orders;ShippedDate;16;Orders_1996_Extract@ShippedDate;MA_NorthWindDB;dbo;Orders_1996_Extract;ShippedDate;;1;0;aliceblue
71;15;Orders@ShipVia;MA_NorthWindDB;dbo;Orders;ShipVia;16;Orders_1996_Extract@ShipVia;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipVia;;1;0;aliceblue
72;15;Orders@Freight;MA_NorthWindDB;dbo;Orders;Freight;16;Orders_1996_Extract@Freight;MA_NorthWindDB;dbo;Orders_1996_Extract;Freight;;1;0;aliceblue
73;15;Orders@ShipName;MA_NorthWindDB;dbo;Orders;ShipName;16;Orders_1996_Extract@ShipName;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipName;;1;0;aliceblue
74;15;Orders@ShipAddress;MA_NorthWindDB;dbo;Orders;ShipAddress;16;Orders_1996_Extract@ShipAddress;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipAddress;;1;0;aliceblue
75;15;Orders@ShipCity;MA_NorthWindDB;dbo;Orders;ShipCity;16;Orders_1996_Extract@ShipCity;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipCity;;1;0;aliceblue
76;15;Orders@ShipRegion;MA_NorthWindDB;dbo;Orders;ShipRegion;16;Orders_1996_Extract@ShipRegion;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipRegion;;1;0;aliceblue
77;15;Orders@ShipPostalCode;MA_NorthWindDB;dbo;Orders;ShipPostalCode;16;Orders_1996_Extract@ShipPostalCode;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipPostalCode;;1;0;aliceblue
78;15;Orders@ShipCountry;MA_NorthWindDB;dbo;Orders;ShipCountry;16;Orders_1996_Extract@ShipCountry;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipCountry;;1;0;aliceblue
79;15;Orders@ShipAddress;MA_NorthWindDB;dbo;Orders;ShipAddress;16;Orders_1996_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
80;15;Orders@ShipCity;MA_NorthWindDB;dbo;Orders;ShipCity;16;Orders_1996_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
81;15;Orders@ShipRegion;MA_NorthWindDB;dbo;Orders;ShipRegion;16;Orders_1996_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
82;15;Orders@ShipPostalCode;MA_NorthWindDB;dbo;Orders;ShipPostalCode;16;Orders_1996_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
83;15;Orders@ShipCountry;MA_NorthWindDB;dbo;Orders;ShipCountry;16;Orders_1996_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_1996_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
84;15;Orders@OrderID;MA_NorthWindDB;dbo;Orders;OrderID;19;Orders_Extract@OrderID;MA_NorthWindDB;dbo;Orders_Extract;OrderID;;1;0;aliceblue
85;15;Orders@CustomerID;MA_NorthWindDB;dbo;Orders;CustomerID;19;Orders_Extract@CustomerID;MA_NorthWindDB;dbo;Orders_Extract;CustomerID;;1;0;aliceblue
86;15;Orders@EmployeeID;MA_NorthWindDB;dbo;Orders;EmployeeID;19;Orders_Extract@EmployeeID;MA_NorthWindDB;dbo;Orders_Extract;EmployeeID;;1;0;aliceblue
87;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;19;Orders_Extract@OrderDate;MA_NorthWindDB;dbo;Orders_Extract;OrderDate;;1;0;aliceblue
88;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;19;Orders_Extract@OrderDate_Month;MA_NorthWindDB;dbo;Orders_Extract;OrderDate_Month;CAST(DATEFROMPARTS(DATEPART(year, OrderDate), DATEPART(month, OrderDate),1) as DATETIME);1;0;orangered
89;15;Orders@RequiredDate;MA_NorthWindDB;dbo;Orders;RequiredDate;19;Orders_Extract@RequiredDate;MA_NorthWindDB;dbo;Orders_Extract;RequiredDate;;1;0;aliceblue
90;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;19;Orders_Extract@Days_order_shipment;MA_NorthWindDB;dbo;Orders_Extract;Days_order_shipment;DATEDIFF(day, OrderDate, ShippedDate);1;0;orangered
91;15;Orders@ShippedDate;MA_NorthWindDB;dbo;Orders;ShippedDate;19;Orders_Extract@Days_order_shipment;MA_NorthWindDB;dbo;Orders_Extract;Days_order_shipment;DATEDIFF(day, OrderDate, ShippedDate);1;0;orangered
92;15;Orders@ShippedDate;MA_NorthWindDB;dbo;Orders;ShippedDate;19;Orders_Extract@ShippedDate;MA_NorthWindDB;dbo;Orders_Extract;ShippedDate;;1;0;aliceblue
93;15;Orders@ShipVia;MA_NorthWindDB;dbo;Orders;ShipVia;19;Orders_Extract@ShipVia;MA_NorthWindDB;dbo;Orders_Extract;ShipVia;;1;0;aliceblue
94;15;Orders@Freight;MA_NorthWindDB;dbo;Orders;Freight;19;Orders_Extract@Freight;MA_NorthWindDB;dbo;Orders_Extract;Freight;;1;0;aliceblue
95;15;Orders@ShipName;MA_NorthWindDB;dbo;Orders;ShipName;19;Orders_Extract@ShipName;MA_NorthWindDB;dbo;Orders_Extract;ShipName;;1;0;aliceblue
96;15;Orders@ShipAddress;MA_NorthWindDB;dbo;Orders;ShipAddress;19;Orders_Extract@ShipAddress;MA_NorthWindDB;dbo;Orders_Extract;ShipAddress;;1;0;aliceblue
97;15;Orders@ShipCity;MA_NorthWindDB;dbo;Orders;ShipCity;19;Orders_Extract@ShipCity;MA_NorthWindDB;dbo;Orders_Extract;ShipCity;;1;0;aliceblue
98;15;Orders@ShipRegion;MA_NorthWindDB;dbo;Orders;ShipRegion;19;Orders_Extract@ShipRegion;MA_NorthWindDB;dbo;Orders_Extract;ShipRegion;;1;0;aliceblue
99;15;Orders@ShipPostalCode;MA_NorthWindDB;dbo;Orders;ShipPostalCode;19;Orders_Extract@ShipPostalCode;MA_NorthWindDB;dbo;Orders_Extract;ShipPostalCode;;1;0;aliceblue
100;15;Orders@ShipCountry;MA_NorthWindDB;dbo;Orders;ShipCountry;19;Orders_Extract@ShipCountry;MA_NorthWindDB;dbo;Orders_Extract;ShipCountry;;1;0;aliceblue
101;15;Orders@ShipAddress;MA_NorthWindDB;dbo;Orders;ShipAddress;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
102;15;Orders@ShipCity;MA_NorthWindDB;dbo;Orders;ShipCity;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
103;15;Orders@ShipRegion;MA_NorthWindDB;dbo;Orders;ShipRegion;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
104;15;Orders@ShipPostalCode;MA_NorthWindDB;dbo;Orders;ShipPostalCode;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
105;15;Orders@ShipCountry;MA_NorthWindDB;dbo;Orders;ShipCountry;19;Orders_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
106;15;Orders@OrderID;MA_NorthWindDB;dbo;Orders;OrderID;17;Orders_1997_Extract@OrderID;MA_NorthWindDB;dbo;Orders_1997_Extract;OrderID;;1;0;aliceblue
107;15;Orders@CustomerID;MA_NorthWindDB;dbo;Orders;CustomerID;17;Orders_1997_Extract@CustomerID;MA_NorthWindDB;dbo;Orders_1997_Extract;CustomerID;;1;0;aliceblue
108;15;Orders@EmployeeID;MA_NorthWindDB;dbo;Orders;EmployeeID;17;Orders_1997_Extract@EmployeeID;MA_NorthWindDB;dbo;Orders_1997_Extract;EmployeeID;;1;0;aliceblue
109;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;17;Orders_1997_Extract@OrderDate;MA_NorthWindDB;dbo;Orders_1997_Extract;OrderDate;;1;0;aliceblue
110;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;17;Orders_1997_Extract@OrderDate_Month;MA_NorthWindDB;dbo;Orders_1997_Extract;OrderDate_Month;CAST(DATEFROMPARTS(DATEPART(year, OrderDate), DATEPART(month, OrderDate),1) as DATETIME);1;0;orangered
111;15;Orders@RequiredDate;MA_NorthWindDB;dbo;Orders;RequiredDate;17;Orders_1997_Extract@RequiredDate;MA_NorthWindDB;dbo;Orders_1997_Extract;RequiredDate;;1;0;aliceblue
112;15;Orders@OrderDate;MA_NorthWindDB;dbo;Orders;OrderDate;17;Orders_1997_Extract@Days_order_shipment;MA_NorthWindDB;dbo;Orders_1997_Extract;Days_order_shipment;DATEDIFF(day, OrderDate, ShippedDate);1;0;orangered
113;15;Orders@ShippedDate;MA_NorthWindDB;dbo;Orders;ShippedDate;17;Orders_1997_Extract@Days_order_shipment;MA_NorthWindDB;dbo;Orders_1997_Extract;Days_order_shipment;DATEDIFF(day, OrderDate, ShippedDate);1;0;orangered
114;15;Orders@ShippedDate;MA_NorthWindDB;dbo;Orders;ShippedDate;17;Orders_1997_Extract@ShippedDate;MA_NorthWindDB;dbo;Orders_1997_Extract;ShippedDate;;1;0;aliceblue
115;15;Orders@ShipVia;MA_NorthWindDB;dbo;Orders;ShipVia;17;Orders_1997_Extract@ShipVia;MA_NorthWindDB;dbo;Orders_1997_Extract;ShipVia;;1;0;aliceblue
116;15;Orders@Freight;MA_NorthWindDB;dbo;Orders;Freight;17;Orders_1997_Extract@Freight;MA_NorthWindDB;dbo;Orders_1997_Extract;Freight;;1;0;aliceblue
117;15;Orders@ShipName;MA_NorthWindDB;dbo;Orders;ShipName;17;Orders_1997_Extract@ShipName;MA_NorthWindDB;dbo;Orders_1997_Extract;ShipName;;1;0;aliceblue
118;15;Orders@ShipAddress;MA_NorthWindDB;dbo;Orders;ShipAddress;17;Orders_1997_Extract@ShipAddress;MA_NorthWindDB;dbo;Orders_1997_Extract;ShipAddress;;1;0;aliceblue
119;15;Orders@ShipCity;MA_NorthWindDB;dbo;Orders;ShipCity;17;Orders_1997_Extract@ShipCity;MA_NorthWindDB;dbo;Orders_1997_Extract;ShipCity;;1;0;aliceblue
120;15;Orders@ShipRegion;MA_NorthWindDB;dbo;Orders;ShipRegion;17;Orders_1997_Extract@ShipRegion;MA_NorthWindDB;dbo;Orders_1997_Extract;ShipRegion;;1;0;aliceblue
121;15;Orders@ShipPostalCode;MA_NorthWindDB;dbo;Orders;ShipPostalCode;17;Orders_1997_Extract@ShipPostalCode;MA_NorthWindDB;dbo;Orders_1997_Extract;ShipPostalCode;;1;0;aliceblue
122;15;Orders@ShipCountry;MA_NorthWindDB;dbo;Orders;ShipCountry;17;Orders_1997_Extract@ShipCountry;MA_NorthWindDB;dbo;Orders_1997_Extract;ShipCountry;;1;0;aliceblue
123;15;Orders@ShipAddress;MA_NorthWindDB;dbo;Orders;ShipAddress;17;Orders_1997_Extract@ShipAddressConcat;MA_NorthWindDB;dbo;Orders_1997_Extract;ShipAddressConcat;CONCAT(ShipAddress, ' ', ShipCity, ' ', ShipRegion, ' ', ShipPostalCode, ' ', ShipCountry);1;0;orangered
