ROW_ID|SOURCE_ID|SOURCE_LABEL|SOURCE_DB|SOURCE_SCHEMA|SOURCE_TABLE|SOURCE_FIELD|TARGET_ID|TARGET_LABEL|TARGET_DB|n/a|TARGET_TABLE|TARGET_FIELD|TRANSFORMATION|MAP_TRANSFORMATION|LINK_VALUE|RAT_SCORE|COLOR
38|18|18@Suppliers_Extract.csv@CompanyName|3|n/a|Suppliers_Extract.csv|CompanyName|24|24@Suppliers_Extract.csv@CompanyName|4|n/a|Suppliers_Extract.csv|CompanyName|||1|0|aliceblue
39|18|18@Suppliers_Extract.csv@ContactName|3|n/a|Suppliers_Extract.csv|ContactName|24|24@Suppliers_Extract.csv@ContactName|4|n/a|Suppliers_Extract.csv|ContactName|||1|0|aliceblue
40|18|18@Suppliers_Extract.csv@ContactTitle|3|n/a|Suppliers_Extract.csv|ContactTitle|24|24@Suppliers_Extract.csv@ContactTitle|4|n/a|Suppliers_Extract.csv|ContactTitle|||1|0|aliceblue
41|18|18@Suppliers_Extract.csv@Address|3|n/a|Suppliers_Extract.csv|Address|24|24@Suppliers_Extract.csv@Address|4|n/a|Suppliers_Extract.csv|Address|||1|0|aliceblue
42|18|18@Suppliers_Extract.csv@City|3|n/a|Suppliers_Extract.csv|City|24|24@Suppliers_Extract.csv@City|4|n/a|Suppliers_Extract.csv|City|||1|0|aliceblue
43|18|18@Suppliers_Extract.csv@Region|3|n/a|Suppliers_Extract.csv|Region|24|24@Suppliers_Extract.csv@Region|4|n/a|Suppliers_Extract.csv|Region|||1|0|aliceblue
44|18|18@Suppliers_Extract.csv@PostalCode|3|n/a|Suppliers_Extract.csv|PostalCode|24|24@Suppliers_Extract.csv@PostalCode|4|n/a|Suppliers_Extract.csv|PostalCode|||1|0|aliceblue
45|18|18@Suppliers_Extract.csv@Phone|3|n/a|Suppliers_Extract.csv|Phone|24|24@Suppliers_Extract.csv@Phone|4|n/a|Suppliers_Extract.csv|Phone|||1|0|aliceblue
46|18|18@Suppliers_Extract.csv@Fax|3|n/a|Suppliers_Extract.csv|Fax|24|24@Suppliers_Extract.csv@Fax|4|n/a|Suppliers_Extract.csv|Fax|||1|0|aliceblue
47|18|18@Suppliers_Extract.csv@Country|3|n/a|Suppliers_Extract.csv|Country|24|24@Suppliers_Extract.csv@Country|4|n/a|Suppliers_Extract.csv|Country|||1|0|aliceblue
48|19|19@Reftable_Supplier_Discount.csv@Discount|3|n/a|Reftable_Supplier_Discount.csv|Discount|25|25@Reftable_Supplier_Discount.csv@Discount|4|n/a|Reftable_Supplier_Discount.csv|Discount|||1|0|aliceblue
49|19|19@Reftable_Supplier_Discount.csv@Discount|3|n/a|Reftable_Supplier_Discount.csv|Discount|26|26@Preferred|4|n/a||Preferred|COMPARE(Discount,0)||1|0|orangered
50|24|24@Suppliers_Extract.csv@SupplierID|4|n/a|Suppliers_Extract.csv|SupplierID|30|30@Suppliers_Extract.csv@SupplierID|5|n/a|Suppliers_Extract.csv|SupplierID|||1|0|aliceblue
51|24|24@Suppliers_Extract.csv@CompanyName|4|n/a|Suppliers_Extract.csv|CompanyName|30|30@Suppliers_Extract.csv@CompanyName|5|n/a|Suppliers_Extract.csv|CompanyName|||1|0|aliceblue
52|24|24@Suppliers_Extract.csv@ContactName|4|n/a|Suppliers_Extract.csv|ContactName|30|30@Suppliers_Extract.csv@ContactName|5|n/a|Suppliers_Extract.csv|ContactName|||1|0|aliceblue
53|24|24@Suppliers_Extract.csv@ContactTitle|4|n/a|Suppliers_Extract.csv|ContactTitle|30|30@Suppliers_Extract.csv@ContactTitle|5|n/a|Suppliers_Extract.csv|ContactTitle|||1|0|aliceblue
54|24|24@Suppliers_Extract.csv@Address|4|n/a|Suppliers_Extract.csv|Address|30|30@Suppliers_Extract.csv@Address|5|n/a|Suppliers_Extract.csv|Address|||1|0|aliceblue
55|24|24@Suppliers_Extract.csv@City|4|n/a|Suppliers_Extract.csv|City|30|30@Suppliers_Extract.csv@City|5|n/a|Suppliers_Extract.csv|City|||1|0|aliceblue
56|24|24@Suppliers_Extract.csv@Region|4|n/a|Suppliers_Extract.csv|Region|30|30@Suppliers_Extract.csv@Region|5|n/a|Suppliers_Extract.csv|Region|||1|0|aliceblue
57|24|24@Suppliers_Extract.csv@PostalCode|4|n/a|Suppliers_Extract.csv|PostalCode|30|30@Suppliers_Extract.csv@PostalCode|5|n/a|Suppliers_Extract.csv|PostalCode|||1|0|aliceblue
58|24|24@Suppliers_Extract.csv@Phone|4|n/a|Suppliers_Extract.csv|Phone|30|30@Suppliers_Extract.csv@Phone|5|n/a|Suppliers_Extract.csv|Phone|||1|0|aliceblue
59|24|24@Suppliers_Extract.csv@Fax|4|n/a|Suppliers_Extract.csv|Fax|30|30@Suppliers_Extract.csv@Fax|5|n/a|Suppliers_Extract.csv|Fax|||1|0|aliceblue
60|24|24@Suppliers_Extract.csv@Country|4|n/a|Suppliers_Extract.csv|Country|30|30@Suppliers_Extract.csv@Country|5|n/a|Suppliers_Extract.csv|Country|||1|0|aliceblue
61|25|25@Reftable_Supplier_Discount.csv@Discount|4|n/a|Reftable_Supplier_Discount.csv|Discount|31|31@Reftable_Supplier_Discount.csv@Discount|5|n/a|Reftable_Supplier_Discount.csv|Discount|||1|0|aliceblue
62|26|26@Preferred|4|n/a||Preferred|32|32@Preferred|5|n/a||Preferred|||1|0|aliceblue
63|30|30@Suppliers_Extract.csv@SupplierID|5|n/a|Suppliers_Extract.csv|SupplierID|36|36@Suppliers_Extract.csv@SupplierID|6|n/a|Suppliers_Extract.csv|SupplierID|||1|0|aliceblue
64|30|30@Suppliers_Extract.csv@CompanyName|5|n/a|Suppliers_Extract.csv|CompanyName|36|36@Suppliers_Extract.csv@CompanyName|6|n/a|Suppliers_Extract.csv|CompanyName|||1|0|aliceblue
65|30|30@Suppliers_Extract.csv@ContactName|5|n/a|Suppliers_Extract.csv|ContactName|36|36@Suppliers_Extract.csv@ContactName|6|n/a|Suppliers_Extract.csv|ContactName|||1|0|aliceblue
66|30|30@Suppliers_Extract.csv@ContactTitle|5|n/a|Suppliers_Extract.csv|ContactTitle|36|36@Suppliers_Extract.csv@ContactTitle|6|n/a|Suppliers_Extract.csv|ContactTitle|||1|0|aliceblue
67|30|30@Suppliers_Extract.csv@Address|5|n/a|Suppliers_Extract.csv|Address|36|36@Suppliers_Extract.csv@Address|6|n/a|Suppliers_Extract.csv|Address|||1|0|aliceblue
68|30|30@Suppliers_Extract.csv@City|5|n/a|Suppliers_Extract.csv|City|36|36@Suppliers_Extract.csv@City|6|n/a|Suppliers_Extract.csv|City|||1|0|aliceblue
69|30|30@Suppliers_Extract.csv@Region|5|n/a|Suppliers_Extract.csv|Region|36|36@Suppliers_Extract.csv@Region|6|n/a|Suppliers_Extract.csv|Region|||1|0|aliceblue
70|30|30@Suppliers_Extract.csv@PostalCode|5|n/a|Suppliers_Extract.csv|PostalCode|36|36@Suppliers_Extract.csv@PostalCode|6|n/a|Suppliers_Extract.csv|PostalCode|||1|0|aliceblue
71|30|30@Suppliers_Extract.csv@Phone|5|n/a|Suppliers_Extract.csv|Phone|36|36@Suppliers_Extract.csv@Phone|6|n/a|Suppliers_Extract.csv|Phone|||1|0|aliceblue
72|30|30@Suppliers_Extract.csv@Fax|5|n/a|Suppliers_Extract.csv|Fax|36|36@Suppliers_Extract.csv@Fax|6|n/a|Suppliers_Extract.csv|Fax|||1|0|aliceblue
73|30|30@Suppliers_Extract.csv@Country|5|n/a|Suppliers_Extract.csv|Country|36|36@Suppliers_Extract.csv@Country|6|n/a|Suppliers_Extract.csv|Country|||1|0|aliceblue
74|31|31@Reftable_Supplier_Discount.csv@Discount|5|n/a|Reftable_Supplier_Discount.csv|Discount|37|37@Reftable_Supplier_Discount.csv@Discount|6|n/a|Reftable_Supplier_Discount.csv|Discount|||1|0|aliceblue
75|32|32@Preferred|5|n/a||Preferred|38|38@Preferred|6|n/a||Preferred|||1|0|aliceblue
76|50|50@HC_001@ValidFrom|5|n/a|HC_001|ValidFrom|52|52@HC_001@ValidFrom|6|n/a|HC_001|ValidFrom|||1|0|aliceblue
77|51|51@HC_002@ValidTo|5|n/a|HC_002|ValidTo|53|53@HC_002@ValidTo|6|n/a|HC_002|ValidTo|||1|0|aliceblue
78|50|50@HC_001@ValidFrom|5|n/a|HC_001|ValidFrom|54|54@HC_003@Active|6|n/a|HC_003|Active|BETWEEN(DATETIME_NOW,EQUALS(ValidFrom,ValidTo))||1|0|orangered
79|51|51@HC_002@ValidTo|5|n/a|HC_002|ValidTo|54|54@HC_003@Active|6|n/a|HC_003|Active|BETWEEN(DATETIME_NOW,EQUALS(ValidFrom,ValidTo))||1|0|orangered
80|36|36@Suppliers_Extract.csv@SupplierID|6|n/a|Suppliers_Extract.csv|SupplierID|49|49@Suppliers_Extract@SupplierID|7|n/a|Suppliers_Extract|SupplierID|||1|0|aliceblue
81|36|36@Suppliers_Extract.csv@CompanyName|6|n/a|Suppliers_Extract.csv|CompanyName|49|49@Suppliers_Extract@CompanyName|7|n/a|Suppliers_Extract|CompanyName|||1|0|aliceblue
82|36|36@Suppliers_Extract.csv@ContactName|6|n/a|Suppliers_Extract.csv|ContactName|49|49@Suppliers_Extract@ContactName|7|n/a|Suppliers_Extract|ContactName|||1|0|aliceblue
83|36|36@Suppliers_Extract.csv@ContactTitle|6|n/a|Suppliers_Extract.csv|ContactTitle|49|49@Suppliers_Extract@ContactTitle|7|n/a|Suppliers_Extract|ContactTitle|||1|0|aliceblue
84|36|36@Suppliers_Extract.csv@Address|6|n/a|Suppliers_Extract.csv|Address|49|49@Suppliers_Extract@Address|7|n/a|Suppliers_Extract|Address|||1|0|aliceblue
85|36|36@Suppliers_Extract.csv@City|6|n/a|Suppliers_Extract.csv|City|49|49@Suppliers_Extract@City|7|n/a|Suppliers_Extract|City|||1|0|aliceblue
86|36|36@Suppliers_Extract.csv@Region|6|n/a|Suppliers_Extract.csv|Region|49|49@Suppliers_Extract@Region|7|n/a|Suppliers_Extract|Region|||1|0|aliceblue
87|36|36@Suppliers_Extract.csv@PostalCode|6|n/a|Suppliers_Extract.csv|PostalCode|49|49@Suppliers_Extract@PostalCode|7|n/a|Suppliers_Extract|PostalCode|||1|0|aliceblue
88|36|36@Suppliers_Extract.csv@Phone|6|n/a|Suppliers_Extract.csv|Phone|49|49@Suppliers_Extract@Phone|7|n/a|Suppliers_Extract|Phone|||1|0|aliceblue
89|36|36@Suppliers_Extract.csv@Fax|6|n/a|Suppliers_Extract.csv|Fax|49|49@Suppliers_Extract@Fax|7|n/a|Suppliers_Extract|Fax|||1|0|aliceblue
90|36|36@Suppliers_Extract.csv@Country|6|n/a|Suppliers_Extract.csv|Country|49|49@Suppliers_Extract@Country|7|n/a|Suppliers_Extract|Country|||1|0|aliceblue
91|37|37@Reftable_Supplier_Discount.csv@Discount|6|n/a|Reftable_Supplier_Discount.csv|Discount|49|49@Suppliers_Extract@Discount|7|n/a|Suppliers_Extract|Discount|||1|0|aliceblue
92|38|38@Preferred|6|n/a||Preferred|49|49@Suppliers_Extract@Preferred|7|n/a|Suppliers_Extract|Preferred|||1|0|aliceblue
93|52|52@HC_001@ValidFrom|6|n/a|HC_001|ValidFrom|49|49@Suppliers_Extract@ValidFrom|7|n/a|Suppliers_Extract|ValidFrom|||1|0|aliceblue
94|53|53@HC_002@ValidTo|6|n/a|HC_002|ValidTo|49|49@Suppliers_Extract@ValidTo|7|n/a|Suppliers_Extract|ValidTo|||1|0|aliceblue
95|54|54@HC_003@Active|6|n/a|HC_003|Active|49|49@Suppliers_Extract@Active|7|n/a|Suppliers_Extract|Active|||1|0|aliceblue
