ROW_ID|SOURCE_ID|SOURCE_LABEL|SOURCE_DB|SOURCE_SCHEMA|SOURCE_TABLE|SOURCE_FIELD|TARGET_ID|TARGET_LABEL|TARGET_DB|TARGET_SCHEMA|TARGET_TABLE|TARGET_FIELD|TRANSFORMATION|LINK_VALUE|RAT_SCORE|COLOR
16|268|MA_DemoDM01@FCT_Order@ProductID|MA_DemoDM01|dbo|FCT_Order|ProductID|329|Report@Country_Overview@Number_Of_Products|Report|dbo|Country_Overview|Number_Of_Products|COUNT(DISTINCT(ProductID))|1|0|orangered
17|175|MA_DemoDB_01@Order_Details_Extract@ProductID|MA_DemoDB_01|dbo|Order_Details_Extract|ProductID|268|MA_DemoDM01@FCT_Order@ProductID|MA_DemoDM01|dbo|FCT_Order|ProductID||1|0|aliceblue
18|145|Rationalisatie_centralDB@Order_Details_Extract.csv@ProductID|Rationalisatie_centralDB|dbo|Order_Details_Extract.csv|ProductID|175|MA_DemoDB_01@Order_Details_Extract@ProductID|MA_DemoDB_01|dbo|Order_Details_Extract|ProductID||1|0|aliceblue
19|92|Stagingcontainer@Order_Details_Extract.csv@ProductID|Stagingcontainer|dbo|Order_Details_Extract.csv|ProductID|145|Rationalisatie_centralDB@Order_Details_Extract.csv@ProductID|Rationalisatie_centralDB|dbo|Order_Details_Extract.csv|ProductID||1|0|aliceblue
20|11|MA_NorthWindDB@Order_Details_Extract@ProductID|MA_NorthWindDB|dbo|Order_Details_Extract|ProductID|92|Stagingcontainer@Order_Details_Extract.csv@ProductID|Stagingcontainer|dbo|Order_Details_Extract.csv|ProductID||1|0|aliceblue
21|0|MA_NorthWindDB@[Order Details]@ProductID|MA_NorthWindDB|dbo|[Order Details]|ProductID|11|MA_NorthWindDB@Order_Details_Extract@ProductID|MA_NorthWindDB|dbo|Order_Details_Extract|ProductID||1|0|aliceblue
22|268|MA_DemoDM01@FCT_Order@Discount|MA_DemoDM01|dbo|FCT_Order|Discount|329|Report@Country_Overview@Total_Discount_Amount|Report|dbo|Country_Overview|Total_Discount_Amount|ROUND(SUMMATION(MULTIPLY(Discount,Price)),2)|1|0|orangered
23|175|MA_DemoDB_01@Order_Details_Extract@Discount|MA_DemoDB_01|dbo|Order_Details_Extract|Discount|268|MA_DemoDM01@FCT_Order@Discount|MA_DemoDM01|dbo|FCT_Order|Discount||1|0|aliceblue
24|145|Rationalisatie_centralDB@Order_Details_Extract.csv@Discount|Rationalisatie_centralDB|dbo|Order_Details_Extract.csv|Discount|175|MA_DemoDB_01@Order_Details_Extract@Discount|MA_DemoDB_01|dbo|Order_Details_Extract|Discount|IFTHENELSE(REPLACE(Discount), 0,Discount)|1|0|orangered
25|92|Stagingcontainer@Order_Details_Extract.csv@Discount|Stagingcontainer|dbo|Order_Details_Extract.csv|Discount|145|Rationalisatie_centralDB@Order_Details_Extract.csv@Discount|Rationalisatie_centralDB|dbo|Order_Details_Extract.csv|Discount||1|0|aliceblue
26|11|MA_NorthWindDB@Order_Details_Extract@Discount|MA_NorthWindDB|dbo|Order_Details_Extract|Discount|92|Stagingcontainer@Order_Details_Extract.csv@Discount|Stagingcontainer|dbo|Order_Details_Extract.csv|Discount||1|0|aliceblue
27|0|MA_NorthWindDB@[Order Details]@Discount|MA_NorthWindDB|dbo|[Order Details]|Discount|11|MA_NorthWindDB@Order_Details_Extract@Discount|MA_NorthWindDB|dbo|Order_Details_Extract|Discount||1|0|aliceblue
28|268|MA_DemoDM01@FCT_Order@Quantity|MA_DemoDM01|dbo|FCT_Order|Quantity|329|Report@Country_Overview@Minimum_Quantity|Report|dbo|Country_Overview|Minimum_Quantity|MINIMUM(Quantity)|1|0|orangered
29|175|MA_DemoDB_01@Order_Details_Extract@Quantity|MA_DemoDB_01|dbo|Order_Details_Extract|Quantity|268|MA_DemoDM01@FCT_Order@Quantity|MA_DemoDM01|dbo|FCT_Order|Quantity||1|0|aliceblue
30|145|Rationalisatie_centralDB@Order_Details_Extract.csv@Quantity|Rationalisatie_centralDB|dbo|Order_Details_Extract.csv|Quantity|175|MA_DemoDB_01@Order_Details_Extract@Quantity|MA_DemoDB_01|dbo|Order_Details_Extract|Quantity||1|0|aliceblue
31|92|Stagingcontainer@Order_Details_Extract.csv@Quantity|Stagingcontainer|dbo|Order_Details_Extract.csv|Quantity|145|Rationalisatie_centralDB@Order_Details_Extract.csv@Quantity|Rationalisatie_centralDB|dbo|Order_Details_Extract.csv|Quantity||1|0|aliceblue
32|11|MA_NorthWindDB@Order_Details_Extract@Quantity|MA_NorthWindDB|dbo|Order_Details_Extract|Quantity|92|Stagingcontainer@Order_Details_Extract.csv@Quantity|Stagingcontainer|dbo|Order_Details_Extract.csv|Quantity||1|0|aliceblue
33|0|MA_NorthWindDB@[Order Details]@Quantity|MA_NorthWindDB|dbo|[Order Details]|Quantity|11|MA_NorthWindDB@Order_Details_Extract@Quantity|MA_NorthWindDB|dbo|Order_Details_Extract|Quantity||1|0|aliceblue
